YearlyIncome,TotalChildren,NumberChildrenAtHome,EnglishEducation,NumberCarsOwned,CommuteDistance,Age,BikeBuyer
90000,2,0,Bachelors,0,1-2 Miles,49,1
60000,3,3,Bachelors,1,0-1 Miles,50,1
60000,3,3,Bachelors,1,2-5 Miles,50,1
70000,0,0,Bachelors,1,5-10 Miles,47,1
80000,5,5,Bachelors,4,1-2 Miles,47,1
70000,0,0,Bachelors,1,5-10 Miles,50,1
70000,0,0,Bachelors,1,5-10 Miles,49,1
60000,3,3,Bachelors,2,0-1 Miles,51,1
60000,4,4,Bachelors,3,10+ Miles,51,1
70000,0,0,Bachelors,1,5-10 Miles,51,1
70000,0,0,Bachelors,1,5-10 Miles,51,1
60000,4,4,Bachelors,4,10+ Miles,51,1
100000,2,0,Bachelors,2,1-2 Miles,47,0
100000,2,0,Bachelors,3,0-1 Miles,47,0
100000,3,0,Bachelors,3,1-2 Miles,47,0
30000,0,0,Partial College,1,5-10 Miles,36,1
30000,0,0,Partial College,1,5-10 Miles,36,1
20000,4,0,High School,2,5-10 Miles,71,1
30000,2,0,Partial College,2,5-10 Miles,70,1
40000,0,0,High School,2,5-10 Miles,37,0
40000,0,0,High School,2,1-2 Miles,36,1
40000,0,0,Partial College,1,1-2 Miles,37,1
40000,0,0,Partial College,1,5-10 Miles,36,1
40000,0,0,Partial College,1,1-2 Miles,36,0
60000,0,0,Partial College,2,5-10 Miles,36,0
10000,2,1,Partial High School,2,1-2 Miles,69,1
30000,2,0,Partial College,2,1-2 Miles,69,1
30000,2,0,Partial College,2,5-10 Miles,68,1
30000,2,0,Partial College,2,1-2 Miles,69,1
30000,2,0,Partial College,2,1-2 Miles,68,1
10000,2,1,Partial High School,2,1-2 Miles,68,1
20000,4,0,High School,2,1-2 Miles,68,1
20000,4,0,High School,2,1-2 Miles,68,1
20000,4,0,High School,2,5-10 Miles,67,1
20000,4,0,High School,2,5-10 Miles,68,1
10000,2,1,Partial High School,2,1-2 Miles,67,1
60000,0,0,Partial College,2,1-2 Miles,36,1
40000,0,0,Partial High School,2,5-10 Miles,37,1
10000,2,1,Partial High School,2,5-10 Miles,67,1
30000,3,0,Partial College,2,5-10 Miles,66,1
30000,0,0,Partial College,2,1-2 Miles,38,1
60000,0,0,Partial College,2,1-2 Miles,37,1
70000,0,0,Partial College,2,0-1 Miles,38,1
60000,0,0,Partial College,2,5-10 Miles,39,0
20000,2,1,Partial High School,2,1-2 Miles,66,1
30000,3,0,High School,2,1-2 Miles,65,0
30000,3,0,High School,2,5-10 Miles,65,1
30000,3,0,High School,2,1-2 Miles,65,1
30000,3,0,High School,2,5-10 Miles,64,1
40000,0,0,Partial High School,2,5-10 Miles,35,0
30000,3,0,High School,2,5-10 Miles,64,1
30000,3,0,High School,2,1-2 Miles,64,0
40000,2,0,Partial College,2,5-10 Miles,64,1
60000,0,0,Partial College,2,1-2 Miles,35,1
40000,2,0,Partial College,2,5-10 Miles,63,1
40000,2,0,Partial College,2,5-10 Miles,63,1
40000,3,0,Partial College,2,5-10 Miles,62,1
70000,2,0,Graduate Degree,2,1-2 Miles,61,1
80000,2,0,Partial College,2,1-2 Miles,61,1
80000,2,0,Partial College,2,5-10 Miles,61,0
80000,2,0,Partial College,2,5-10 Miles,61,1
80000,2,0,Partial College,2,5-10 Miles,61,1
40000,0,0,High School,2,5-10 Miles,40,1
40000,0,0,High School,2,5-10 Miles,40,1
40000,0,0,High School,2,5-10 Miles,39,1
60000,0,0,Partial College,2,1-2 Miles,41,0
70000,0,0,Partial College,2,5-10 Miles,41,0
60000,0,0,Partial College,2,5-10 Miles,38,0
80000,2,0,High School,2,5-10 Miles,59,0
80000,2,0,High School,2,1-2 Miles,59,1
80000,2,0,High School,2,5-10 Miles,60,1
80000,2,0,High School,2,5-10 Miles,60,0
80000,2,0,High School,2,1-2 Miles,60,1
70000,2,0,High School,2,5-10 Miles,59,0
70000,2,0,High School,2,5-10 Miles,59,0
80000,2,0,High School,2,5-10 Miles,57,1
80000,2,0,High School,2,5-10 Miles,58,1
80000,2,0,High School,2,1-2 Miles,57,1
40000,0,0,High School,2,1-2 Miles,41,0
160000,0,0,Graduate Degree,2,0-1 Miles,56,0
170000,0,0,Graduate Degree,2,0-1 Miles,56,1
120000,2,2,Bachelors,3,2-5 Miles,49,0
130000,0,1,Graduate Degree,3,1-2 Miles,49,1
130000,0,1,Graduate Degree,3,1-2 Miles,49,1
80000,2,0,Partial High School,2,1-2 Miles,58,1
60000,2,0,High School,2,5-10 Miles,58,0
70000,2,1,Partial College,0,0-1 Miles,57,0
70000,3,2,Partial College,0,0-1 Miles,57,0
80000,2,1,Bachelors,0,2-5 Miles,57,1
80000,2,1,Bachelors,1,2-5 Miles,58,1
90000,2,0,Partial College,1,2-5 Miles,57,1
90000,2,0,Partial College,1,5-10 Miles,58,0
90000,2,2,Bachelors,0,1-2 Miles,48,1
100000,0,0,Graduate Degree,0,0-1 Miles,48,1
70000,1,0,Partial College,1,0-1 Miles,53,0
70000,1,0,Partial College,1,5-10 Miles,53,1
60000,1,0,Bachelors,1,5-10 Miles,53,1
60000,1,0,Partial College,1,5-10 Miles,53,1
60000,1,0,Partial College,1,0-1 Miles,54,0
60000,1,0,Bachelors,1,0-1 Miles,54,1
60000,1,0,Partial College,1,5-10 Miles,54,1
70000,0,0,Bachelors,1,0-1 Miles,50,1
80000,5,5,Bachelors,4,1-2 Miles,50,0
70000,0,0,Bachelors,1,5-10 Miles,50,1
70000,0,0,Bachelors,1,0-1 Miles,51,1
70000,0,0,Bachelors,1,5-10 Miles,50,1
70000,0,0,Bachelors,1,5-10 Miles,51,1
90000,1,0,Bachelors,1,5-10 Miles,56,1
70000,0,0,Bachelors,2,0-1 Miles,52,1
70000,0,0,Bachelors,2,0-1 Miles,51,1
60000,1,0,Partial College,1,5-10 Miles,53,1
60000,1,0,Partial College,1,0-1 Miles,53,1
60000,1,0,Partial College,1,0-1 Miles,53,1
70000,5,4,Bachelors,2,5-10 Miles,53,0
70000,5,4,Partial College,2,5-10 Miles,53,0
70000,5,4,Partial College,2,0-1 Miles,53,0
70000,5,4,Partial College,2,5-10 Miles,52,0
70000,5,4,Partial College,3,10+ Miles,54,1
80000,1,0,Partial College,1,0-1 Miles,58,0
30000,2,0,Partial College,2,0-1 Miles,80,0
40000,2,0,Bachelors,1,5-10 Miles,79,1
70000,5,4,Partial College,3,10+ Miles,54,0
70000,5,4,Partial College,3,5-10 Miles,55,0
70000,5,4,Partial College,3,10+ Miles,55,0
80000,1,0,Partial College,1,5-10 Miles,58,1
70000,1,0,Partial College,1,5-10 Miles,59,0
10000,2,1,High School,2,0-1 Miles,66,1
40000,0,0,High School,1,5-10 Miles,39,0
40000,0,0,High School,1,5-10 Miles,39,0
40000,0,0,High School,1,5-10 Miles,40,1
30000,0,0,High School,2,5-10 Miles,35,0
30000,0,0,High School,2,0-1 Miles,35,0
30000,0,0,High School,2,5-10 Miles,34,1
30000,0,0,Partial High School,2,0-1 Miles,35,0
10000,5,0,High School,2,5-10 Miles,69,1
30000,0,0,Partial High School,2,5-10 Miles,35,1
40000,0,0,High School,2,0-1 Miles,36,1
40000,0,0,High School,2,5-10 Miles,37,0
40000,0,0,High School,2,0-1 Miles,36,0
30000,2,0,Partial College,2,5-10 Miles,76,0
30000,0,0,Partial High School,2,5-10 Miles,38,0
40000,0,0,High School,2,0-1 Miles,38,0
40000,0,0,High School,2,0-1 Miles,38,0
40000,0,0,High School,2,5-10 Miles,38,0
40000,0,0,High School,2,0-1 Miles,36,1
40000,0,0,High School,2,0-1 Miles,35,1
40000,2,0,Bachelors,2,5-10 Miles,76,0
60000,2,0,Graduate Degree,1,0-1 Miles,76,1
40000,2,0,Bachelors,2,5-10 Miles,74,0
40000,2,0,Bachelors,2,0-1 Miles,74,0
40000,2,0,Bachelors,2,5-10 Miles,74,0
60000,2,0,Graduate Degree,1,0-1 Miles,73,1
40000,0,0,High School,2,5-10 Miles,39,1
40000,0,0,High School,2,5-10 Miles,39,0
40000,0,0,Partial College,1,5-10 Miles,39,1
40000,0,0,Partial College,1,1-2 Miles,39,1
40000,0,0,Partial College,1,1-2 Miles,39,1
40000,0,0,High School,2,5-10 Miles,40,0
40000,0,0,High School,2,5-10 Miles,39,1
40000,0,0,High School,2,1-2 Miles,39,0
40000,0,0,Partial College,1,5-10 Miles,41,1
40000,0,0,Partial College,1,1-2 Miles,41,0
40000,0,0,Partial College,1,5-10 Miles,41,1
40000,0,0,Partial College,1,5-10 Miles,40,0
40000,0,0,Partial College,1,1-2 Miles,41,0
60000,0,0,Partial College,1,1-2 Miles,42,0
70000,0,0,Partial College,2,0-1 Miles,43,0
80000,0,0,Bachelors,1,0-1 Miles,43,1
80000,0,0,Bachelors,1,0-1 Miles,47,1
90000,4,4,Bachelors,1,0-1 Miles,47,0
90000,4,4,Bachelors,1,0-1 Miles,47,0
100000,1,0,Bachelors,2,1-2 Miles,47,1
100000,1,0,Bachelors,2,1-2 Miles,47,0
110000,0,0,Graduate Degree,4,0-1 Miles,48,0
110000,0,1,Graduate Degree,0,2-5 Miles,48,0
70000,0,0,Partial College,2,5-10 Miles,52,1
